what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104089123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104099924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104101075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379104102655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104103855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104115637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104116929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104120909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104123029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104126870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379104133000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104134011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104136094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104136915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104148085
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379104149615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379104161286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379104161456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379104162386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379104164666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104165747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104166007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104166197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104170767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104171328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104176058
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379104178098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104237236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379104238036
